episode_id,turn,step,result,error_category,action_taken,alternative_available,evidence_level,description,repeat_pattern_id
92074690,9,,LOSS,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 743) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 140. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92058494,9,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 190) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 180. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92058494,9,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 190) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 180. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92058494,9,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 190) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 180. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92058494,9,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 190) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 180. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92057550,8,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, non-resisted, ability-free, standard-direct-damage attack(s) available (Jet Headbutt (id 153, 70 dmg) vs opp HP 50) but a different action was chosen: ['PLAY']. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92057550,8,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, non-resisted, ability-free, standard-direct-damage attack(s) available (Jet Headbutt (id 153, 70 dmg) vs opp HP 50) but a different action was chosen: ['ABILITY']. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92057550,8,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, non-resisted, ability-free, standard-direct-damage attack(s) available (Jet Headbutt (id 153, 70 dmg) vs opp HP 50) but a different action was chosen: ['ABILITY']. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92057550,8,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, non-resisted, ability-free, standard-direct-damage attack(s) available (Jet Headbutt (id 153, 70 dmg) vs opp HP 50) but a different action was chosen: ['PLAY']. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92053714,8,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 120. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92053714,10,,LOSS,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92053714,10,,LOSS,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92053714,14,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 170. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92053714,14,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 170. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92053714,14,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 170. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92053714,14,,LOSS,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 170. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,6,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 140. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,8,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 140. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,10,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 140. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92050914,10,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 140. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92050914,10,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 140. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92050914,10,,WIN,TARGET_SELECTION,(see description),YES (a legal attack option existed),AMBIGUOUS,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 140. (checked forward through end of turn: the ORIGINAL target Pokemon was switched out of the active spot before it could be re-attacked -- this is a materially different, more benign situation than a target that simply sat there unattacked; not counted toward the headline CONFIRMED total, see report methodology)",missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE
92050914,12,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,12,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,12,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,12,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,12,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,12,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,14,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,16,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,16,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,16,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,16,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,18,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
92050914,18,,WIN,ATTACK_SELECTION,(see description),YES (a legal attack option existed),POSSIBLE,"Legal, lethal-BY-BASE-DAMAGE-ONLY attack(s) available but not chosen -- NOT elevated to CONFIRMED because opponent's card (id 345) has a listed ability/skill that may block or alter damage; resistance and/or non-standard attack text (bench-targeting, coin-flip, conditional, etc.) may mean the base damage value does not apply directly/fully to the active Pokemon: Phantom Dive (id 154, 200 dmg) vs opp HP 150. (checked forward through end of turn: opponent's active Pokemon was never knocked out and this attack was never subsequently taken that turn)",missed_ko__ATTACK_SELECTION__POSSIBLE
